,env,orientation,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi,ble_exposure,ble_ble_scan_count,ble_avg_rssi,ble_avg_d_cm
10,db-glass-op,front,3.5,73835864,5F:C2,AF:DE,79B53F6A2CC41FF445CEB58E8D9B235F4A5256A11CE3834FB632934DFB8084B0,8DC41887CEDF6F37804322C2EB596C55B83AB9B7D8A648ACE0D24060C34D349F,178,753,0,38,888,0,176,709,415,,,178,753,-76.2804489,729
11,db-glass-op,front,3.5,73835864,AF:DE,5F:C2,8DC41887CEDF6F37804322C2EB596C55B83AB9B7D8A648ACE0D24060C34D349F,79B53F6A2CC41FF445CEB58E8D9B235F4A5256A11CE3834FB632934DFB8084B0,178,727,0,18,890,0,174,713,415,,,178,727,-76.5307312,759
12,plaster,front,3.5,73842779,5F:C2,AF:DE,7800229E9BCCB86702E091BBCC8D243A4BD4A34606C49543275578450FCA7BD1,ABF53D421DB66149A662C78FC41E7C2FB83046C636638B0CB66E8316510E042A,178,754,0,166,889,0,292,633,359,,-83.6347351,178,754,-66.1216583,147
13,plaster,front,3.5,73842779,AF:DE,5F:C2,ABF53D421DB66149A662C78FC41E7C2FB83046C636638B0CB66E8316510E042A,7800229E9BCCB86702E091BBCC8D243A4BD4A34606C49543275578450FCA7BD1,178,782,0,157,889,0,341,575,364,,-83.6622162,178,782,-65.8858566,142
14,pocket,front,1.0,73853224,AF:DE,5F:C2,49C78C3F71B61800616248AECFBC3BBF30B477402EFD9F3DF7F6F4C5E860896E,1CC363CE40A531FC3A6A70BDAB40946F6F37A49AA738EFCC674EAB973BAD9F2B,178,869,0,75,888,0,92,795,93,,,178,869,-52.5245895,17
15,pocket,front,1.0,73853225,5F:C2,AF:DE,1CC363CE40A531FC3A6A70BDAB40946F6F37A49AA738EFCC674EAB973BAD9F2B,49C78C3F71B61800616248AECFBC3BBF30B477402EFD9F3DF7F6F4C5E860896E,178,861,0,66,889,0,95,789,92,,,178,861,-52.1347847,16
16,los,front,2.5,73819914,5F:C2,AF:DE,B6B1080CD9674C3AF9E64BC7BBC3379EF5CA3C582F48D104F31DEA00F0CDE61C,6C9AD4259D53A663A6EF3FBD6EA4C0A17986DE488E3C7FC4A6C7C1914C105A6C,178,795,0,1,889,0,104,783,250,,,178,795,-58.3956947,43
17,los,front,2.5,73819914,AF:DE,5F:C2,6C9AD4259D53A663A6EF3FBD6EA4C0A17986DE488E3C7FC4A6C7C1914C105A6C,B6B1080CD9674C3AF9E64BC7BBC3379EF5CA3C582F48D104F31DEA00F0CDE61C,178,786,0,2,890,0,96,791,252,,,178,786,-58.607109,45
18,body,front,2.5,73824489,5F:C2,AF:DE,6F8B37CDDB62A8D1DA62C2CCF8497912EDFDF1759AA69ABAE64BE755F17BD029,971F34B544F97290C4428C1D2988018F3EC5EE4EBFAD21DE8366D3F31EF84F1C,178,758,0,74,888,0,120,763,301,,,178,758,-66.7894668,164
19,body,front,2.5,73824489,AF:DE,5F:C2,971F34B544F97290C4428C1D2988018F3EC5EE4EBFAD21DE8366D3F31EF84F1C,6F8B37CDDB62A8D1DA62C2CCF8497912EDFDF1759AA69ABAE64BE755F17BD029,178,785,0,17,888,0,204,679,303,,,178,785,-66.9340591,167
