,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
207,los,riot,front,1.0,C3:29,57:81,0.9768276,0.023172399999999982,0.023172399999999982
208,los,riot,front,1.0,C3:29,57:81,0.9925779,0.007422099999999987,0.007422099999999987
209,los,riot,front,1.0,C3:29,57:81,0.965004,0.03499600000000003,0.03499600000000003
210,los,riot,front,1.0,C3:29,57:81,1.039896,0.03989599999999993,0.03989599999999993
211,los,riot,front,1.0,C3:29,57:81,0.979755,0.020244999999999957,0.020244999999999957
212,los,riot,front,1.0,C3:29,57:81,0.96345,0.03654999999999997,0.03654999999999997
213,los,riot,front,1.0,C3:29,57:81,0.9703895,0.029610499999999984,0.029610499999999984
214,los,riot,front,1.0,C3:29,57:81,1.0047752,0.0047752000000000905,0.0047752000000000905
215,los,riot,front,1.0,C3:29,57:81,0.9947282,0.005271800000000049,0.005271800000000049
216,los,riot,front,1.0,C3:29,57:81,0.9815199,0.0184801,0.0184801
217,los,riot,front,1.0,C3:29,57:81,0.9777992,0.02220080000000002,0.02220080000000002
218,los,riot,front,1.0,C3:29,57:81,0.9761481,0.023851900000000037,0.023851900000000037
219,los,riot,front,1.0,C3:29,57:81,0.9867933,0.013206700000000016,0.013206700000000016
220,los,riot,front,1.0,C3:29,57:81,1.0159181,0.015918099999999935,0.015918099999999935
221,los,riot,front,1.0,C3:29,57:81,0.9807411,0.019258899999999968,0.019258899999999968
222,los,riot,front,1.0,C3:29,57:81,0.9970612,0.002938800000000019,0.002938800000000019
223,los,riot,front,1.0,C3:29,57:81,0.9665842,0.033415799999999996,0.033415799999999996
224,los,riot,front,1.0,C3:29,57:81,0.9663907,0.03360929999999995,0.03360929999999995
225,los,riot,front,1.0,C3:29,57:81,0.9856646,0.014335399999999998,0.014335399999999998
226,los,riot,front,1.0,C3:29,57:81,0.9985704,0.0014296000000000308,0.0014296000000000308
227,los,riot,front,1.0,C3:29,57:81,0.95028,0.049719999999999986,0.049719999999999986
228,los,riot,front,1.0,C3:29,57:81,0.9856271,0.014372900000000022,0.014372900000000022
229,los,riot,front,1.0,C3:29,57:81,1.0080333,0.00803329999999991,0.00803329999999991
230,los,riot,front,1.0,C3:29,57:81,0.9796715,0.02032849999999997,0.02032849999999997
231,los,riot,front,1.0,C3:29,57:81,0.9658081,0.03419190000000005,0.03419190000000005
232,los,riot,front,1.0,C3:29,57:81,1.0000019,1.8999999999991246e-06,1.8999999999991246e-06
233,los,riot,front,1.0,C3:29,57:81,0.9367793,0.06322070000000002,0.06322070000000002
234,los,riot,front,1.0,C3:29,57:81,0.9949366,0.005063400000000051,0.005063400000000051
235,los,riot,front,1.0,C3:29,57:81,1.002844,0.0028440000000000687,0.0028440000000000687
236,los,riot,front,1.0,C3:29,57:81,0.9687612,0.03123880000000001,0.03123880000000001
237,los,riot,front,1.0,C3:29,57:81,0.9988347,0.0011653000000000358,0.0011653000000000358
238,los,riot,front,1.0,C3:29,57:81,0.9920194,0.007980600000000004,0.007980600000000004
239,los,riot,front,1.0,C3:29,57:81,1.0371358,0.03713579999999994,0.03713579999999994
240,los,riot,front,1.0,C3:29,57:81,0.9991397,0.000860300000000036,0.000860300000000036
241,los,riot,front,1.0,C3:29,57:81,0.9713735,0.0286265,0.0286265
242,los,riot,front,1.0,C3:29,57:81,0.9959917,0.004008299999999965,0.004008299999999965
243,los,riot,front,1.0,C3:29,57:81,0.9651413,0.03485870000000002,0.03485870000000002
244,los,riot,front,1.0,C3:29,57:81,0.9947415,0.005258500000000055,0.005258500000000055
245,los,riot,front,1.0,C3:29,57:81,0.9384825,0.0615175,0.0615175
246,los,riot,front,1.0,C3:29,57:81,0.9944499,0.005550100000000002,0.005550100000000002
247,los,riot,front,1.0,C3:29,57:81,0.9901611,0.009838899999999984,0.009838899999999984
248,los,riot,front,1.0,C3:29,57:81,0.9982656,0.0017344000000000248,0.0017344000000000248
249,los,riot,front,1.0,C3:29,57:81,1.0198582,0.019858200000000048,0.019858200000000048
250,los,riot,front,1.0,C3:29,57:81,0.9924931,0.007506899999999983,0.007506899999999983
251,los,riot,front,1.0,C3:29,57:81,1.0146687,0.01466870000000009,0.01466870000000009
252,los,riot,front,1.0,C3:29,57:81,1.0087276,0.008727600000000058,0.008727600000000058
253,los,riot,front,1.0,C3:29,57:81,1.040381,0.040381,0.040381
254,los,riot,front,1.0,C3:29,57:81,0.9831114,0.01688860000000003,0.01688860000000003
255,los,riot,front,1.0,C3:29,57:81,0.9654185,0.03458150000000004,0.03458150000000004
256,los,riot,front,1.0,C3:29,57:81,0.9823461,0.0176539,0.0176539
257,los,riot,front,1.0,C3:29,57:81,0.9941591,0.005840900000000038,0.005840900000000038
258,los,riot,front,1.0,C3:29,57:81,1.0117669,0.011766900000000025,0.011766900000000025
259,los,riot,front,1.0,C3:29,57:81,1.028643,0.028642999999999974,0.028642999999999974
260,los,riot,front,1.0,C3:29,57:81,0.9411185,0.05888150000000003,0.05888150000000003
261,los,riot,front,1.0,C3:29,57:81,0.953427,0.046572999999999976,0.046572999999999976
262,los,riot,front,1.0,C3:29,57:81,1.0611954,0.0611953999999999,0.0611953999999999
263,los,riot,front,1.0,C3:29,57:81,1.0014019,0.001401900000000067,0.001401900000000067
264,los,riot,front,1.0,C3:29,57:81,1.0224237,0.022423700000000046,0.022423700000000046
265,los,riot,front,1.0,C3:29,57:81,1.0226045,0.022604499999999916,0.022604499999999916
